Thread Size	Height	Width	Starts	Speed Ratio	Travel Distance per Turn	Thread Fit	Hardness	Specifications Met	Part	Cost	Material	Direction	Type
"1/4""-16"	"15/64"""	"1/2"""	1	1:1	"0.063"""	Class 2G	Rockwell B75	__	94815A007	2.14	Carbon Steel	right	hex
"3/8""-8"	"23/64"""	"11/16"""	1	1:1	"0.125"""	Class 2G	Rockwell B75	__	94815A011	3	Carbon Steel	right	hex
"3/8""-10"	"23/64"""	"11/16"""	1	1:1	"0.1"""	Class 2G	Rockwell B75	__	94815A018	3	Carbon Steel	right	hex
"3/8""-12"	"23/64"""	"11/16"""	1	1:1	"0.083"""	Class 2G	Rockwell B75	__	94815A106	2.42	Carbon Steel	right	hex
"1/2""-8"	"31/64"""	"7/8"""	1	1:1	"0.125"""	Class 2G	Rockwell B75	__	94815A024	2.85	Carbon Steel	right	hex
"1/2""-10"	"31/64"""	"7/8"""	1	1:1	"0.1"""	Class 2G	Rockwell B75	__	94815A107	2.68	Carbon Steel	right	hex
"5/8""-6"	"39/64"""	"1 1/16"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	__	94815A029	3.06	Carbon Steel	right	hex
"5/8""-8"	"39/64"""	"1 1/16"""	1	1:1	"0.125"""	Class 2G	Rockwell B75	__	94815A108	2.97	Carbon Steel	right	hex
"3/4""-5"	"47/64"""	"1 1/4"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	__	94815A117	4.67	Carbon Steel	right	hex
"3/4""-6"	"47/64"""	"1 1/4"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	__	94815A109	4.22	Carbon Steel	right	hex
"3/4""-8"	"47/64"""	"1 1/4"""	1	1:1	"0.125"""	Class 2G	Rockwell B75	__	94815A034	4.8	Carbon Steel	right	hex
"7/8""-6"	"55/64"""	"1 7/16"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	__	94815A123	5.24	Carbon Steel	right	hex
"1""-4"	"63/64"""	"1 5/8"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	__	94815A037	6.85	Carbon Steel	right	hex
"1""-5"	"63/64"""	"1 5/8"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	__	94815A110	5.77	Carbon Steel	right	hex
"1""-6"	"63/64"""	"1 5/8"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	__	94815A111	5.68	Carbon Steel	right	hex
"1""-8"	"63/64"""	"1 5/8"""	1	1:1	"0.125"""	Class 2G	Rockwell B75	__	94815A045	6.81	Carbon Steel	right	hex
"1""-10"	"63/64"""	"1 5/8"""	1	1:1	"0.1"""	Class 2G	Rockwell B75	__	94815A118	6.34	Carbon Steel	right	hex
"1 1/8""-5"	"1 7/64"""	"1 13/16"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	__	94815A119	8.8	Carbon Steel	right	hex
"1 1/4""-4"	"1 1/4"""	"2"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	__	94815A112	10.19	Carbon Steel	right	hex
"1 1/4""-5"	"1 7/32"""	"2"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	__	94815A116	9.66	Carbon Steel	right	hex
"1 3/8""-4"	"1 11/32"""	"2 3/16"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	__	94815A122	15.98	Carbon Steel	right	hex
"1 1/2""-4"	"1 15/32"""	"2 3/8"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	__	94815A113	17.17	Carbon Steel	right	hex
"1 1/2""-5"	"1 15/32"""	"2 3/8"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	__	94815A121	17.17	Carbon Steel	right	hex
"2""-4"	"1 31/32"""	"3"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	__	94815A114	40.89	Carbon Steel	right	hex
"2 1/4""-4"	"2 1/2"""	"3 1/2"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	__	94815A125	72.65	Carbon Steel	right	hex
"2 1/2""-4"	"2 1/2"""	"3 1/2"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	__	94815A115	72.65	Carbon Steel	right	hex
"1/4""-16"	"15/64"""	"1/2"""	1	1:1	"0.063"""	Class 2G	Rockwell B75	__	98948A111	9.06	Zinc-Plated Carbon Steel	right	hex
"3/8""-8"	"23/64"""	"11/16"""	1	1:1	"0.125"""	Class 2G	Rockwell B75	__	98948A112	9.19	Zinc-Plated Carbon Steel	right	hex
"3/8""-10"	"23/64"""	"11/16"""	1	1:1	"0.1"""	Class 2G	Rockwell B75	__	98948A113	9.19	Zinc-Plated Carbon Steel	right	hex
"3/8""-12"	"23/64"""	"11/16"""	1	1:1	"0.083"""	Class 2G	Rockwell B75	__	98948A114	9.19	Zinc-Plated Carbon Steel	right	hex
"1/2""-8"	"31/64"""	"7/8"""	1	1:1	"0.125"""	Class 2G	Rockwell B75	__	98948A115	9.39	Zinc-Plated Carbon Steel	right	hex
"1/2""-10"	"1/2"""	"7/8"""	1	1:1	"0.1"""	Class 2G	Rockwell B75	__	98948A730	9.39	Zinc-Plated Carbon Steel	right	hex
"5/8""-6"	"39/64"""	"1 1/16"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	__	98948A116	10.63	Zinc-Plated Carbon Steel	right	hex
"5/8""-8"	"5/8"""	"1 1/16"""	1	1:1	"0.125"""	Class 2G	Rockwell B75	__	98948A740	10.61	Zinc-Plated Carbon Steel	right	hex
"3/4""-5"	"47/64"""	"1 1/4"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	__	98948A117	10.79	Zinc-Plated Carbon Steel	right	hex
"3/4""-6"	"3/4"""	"1 1/4"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	__	98948A750	10.81	Zinc-Plated Carbon Steel	right	hex
"3/4""-8"	"47/64"""	"1 1/4"""	1	1:1	"0.125"""	Class 2G	Rockwell B75	__	98948A118	10.79	Zinc-Plated Carbon Steel	right	hex
"7/8""-6"	"55/64"""	"1 7/16"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	__	98948A119	13.18	Zinc-Plated Carbon Steel	right	hex
"1""-4"	"63/64"""	"1 5/8"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	__	98948A121	13.31	Zinc-Plated Carbon Steel	right	hex
"1""-5"	"1"""	"1 5/8"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	__	98948A770	13.3	Zinc-Plated Carbon Steel	right	hex
"1""-6"	"63/64"""	"1 5/8"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	__	98948A122	13.31	Zinc-Plated Carbon Steel	right	hex
"1""-8"	"63/64"""	"1 5/8"""	1	1:1	"0.125"""	Class 2G	Rockwell B75	__	98948A123	13.31	Zinc-Plated Carbon Steel	right	hex
"1""-10"	"63/64"""	"1 5/8"""	1	1:1	"0.1"""	Class 2G	Rockwell B75	__	98948A124	13.31	Zinc-Plated Carbon Steel	right	hex
"1 1/8""-5"	"1 7/64"""	"1 13/16"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	__	98948A125	20.89	Zinc-Plated Carbon Steel	right	hex
"1 1/4""-4"	"1 7/32"""	"2"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	__	98948A126	25.59	Zinc-Plated Carbon Steel	right	hex
"1 1/4""-5"	"1 1/4"""	"2"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	__	98948A820	25.58	Zinc-Plated Carbon Steel	right	hex
"1 3/8""-4"	"1 11/32"""	"2 3/16"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	__	98948A127	43.71	Zinc-Plated Carbon Steel	right	hex
"1 1/2""-4"	"1 15/32"""	"2 3/8"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	__	98948A128	43.8	Zinc-Plated Carbon Steel	right	hex
"1 1/2""-5"	"1 15/32"""	"2 3/8"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	__	98948A129	43.8	Zinc-Plated Carbon Steel	right	hex
"2""-4"	"1 31/32"""	"3"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	__	98948A131	113.05	Zinc-Plated Carbon Steel	right	hex
"2 1/4""-4"	"2 1/2"""	"3 1/2"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	__	98948A132	228.29	Zinc-Plated Carbon Steel	right	hex
"2 1/2""-4"	"2 1/2"""	"3 1/2"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	__	98948A133	228.29	Zinc-Plated Carbon Steel	right	hex
"3/8""-12"	"3/8"""	"3/4"""	1	1:1	"0.083"""	Class 2G	Rockwell B75	ASTM B16	95155A111	5.28	360 Brass	right	hex
"1/2""-10"	"1/2"""	"7/8"""	1	1:1	"0.1"""	Class 2G	Rockwell B75	ASTM B16	95155A114	6.2	360 Brass	right	hex
"5/8""-8"	"5/8"""	"1 1/16"""	1	1:1	"0.125"""	Class 2G	Rockwell B75	ASTM B16	95155A119	7.96	360 Brass	right	hex
"3/4""-5"	"3/4"""	"1 1/4"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	ASTM B16	95155A123	10.03	360 Brass	right	hex
"3/4""-6"	"3/4"""	"1 1/4"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	ASTM B16	95155A127	10.03	360 Brass	right	hex
"7/8""-6"	"7/8"""	"1 1/2"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	ASTM B16	95155A143	13.72	360 Brass	right	hex
"1""-5"	"1"""	"1 5/8"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	ASTM B16	95155A147	16.09	360 Brass	right	hex
"1""-6"	"1"""	"1 5/8"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	ASTM B16	95155A151	16.09	360 Brass	right	hex
"1""-10"	"1"""	"1 5/8"""	1	1:1	"0.1"""	Class 2G	Rockwell B75	ASTM B16	95155A155	16.09	360 Brass	right	hex
"1 1/8""-5"	"1 1/8"""	"1 3/4"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	ASTM B16	95155A159	22.7	360 Brass	right	hex
"1 1/4""-5"	"1 1/4"""	"2"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	ASTM B16	95155A163	30.49	360 Brass	right	hex
"1 1/2""-4"	"1 1/2"""	"2 1/4"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	ASTM B16	95155A167	41.88	360 Brass	right	hex
"2""-4"	"2"""	"3"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	ASTM B16	95155A171	93.26	360 Brass	right	hex
"2 1/2""-4"	"2 1/2"""	"3 1/2"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	ASTM B16	95155A179	136.97	360 Brass	right	hex
"1/4""-16"	"13/64"""	"1/2"""	1	1:1	"0.063"""	Class 2G	Rockwell B97	__	95066A105	6.71	18-8 Stainless Steel	right	hex
"3/8""-8"	"23/64"""	"11/16"""	1	1:1	"0.125"""	Class 2G	Rockwell B97	__	95066A206	13.03	18-8 Stainless Steel	right	hex
"3/8""-10"	"23/64"""	"11/16"""	1	1:1	"0.1"""	Class 2G	Rockwell B97	__	95066A207	13.03	18-8 Stainless Steel	right	hex
"3/8""-12"	"23/64"""	"11/16"""	1	1:1	"0.083"""	Class 2G	Not Rated	__	95066A208	12.17	18-8 Stainless Steel	right	hex
"1/2""-8"	"31/64"""	"7/8"""	1	1:1	"0.125"""	Class 2G	Rockwell B97	__	95066A209	12.21	18-8 Stainless Steel	right	hex
"1/2""-10"	"31/64"""	"7/8"""	1	1:1	"0.1"""	Class 2G	Not Rated	__	95066A212	14.04	18-8 Stainless Steel	right	hex
"5/8""-6"	"19/32"""	"1 1/16"""	1	1:1	"0.167"""	Class 2G	Rockwell B97	__	95066A141	15.36	18-8 Stainless Steel	right	hex
"5/8""-8"	"39/64"""	"1 1/16"""	1	1:1	"0.125"""	Class 2G	Not Rated	__	95066A213	16.02	18-8 Stainless Steel	right	hex
"3/4""-5"	"47/64"""	"1 1/4"""	1	1:1	"0.2"""	Class 2G	Not Rated	__	95066A214	19.33	18-8 Stainless Steel	right	hex
"3/4""-6"	"47/64"""	"1 1/4"""	1	1:1	"0.167"""	Class 2G	Not Rated	__	95066A217	19.33	18-8 Stainless Steel	right	hex
"3/4""-8"	"23/32"""	"1 1/4"""	1	1:1	"0.125"""	Class 2G	Rockwell B97	__	95066A152	15.15	18-8 Stainless Steel	right	hex
"7/8""-6"	"55/64"""	"1 1/2"""	1	1:1	"0.167"""	Class 2G	Not Rated	__	95066A226	22.54	18-8 Stainless Steel	right	hex
"1""-4"	"63/64"""	"1 5/8"""	1	1:1	"0.25"""	Class 2G	Rockwell B97	__	95066A166	30.73	18-8 Stainless Steel	right	hex
"1""-5"	"63/64"""	"1 5/8"""	1	1:1	"0.2"""	Class 2G	Not Rated	__	95066A215	29.58	18-8 Stainless Steel	right	hex
"1""-6"	"63/64"""	"1 5/8"""	1	1:1	"0.167"""	Class 2G	Not Rated	__	95066A218	29.58	18-8 Stainless Steel	right	hex
"1""-8"	"63/64"""	"1 5/8"""	1	1:1	"0.125"""	Class 2G	Rockwell B97	__	95066A168	31.88	18-8 Stainless Steel	right	hex
"1""-10"	"63/64"""	"1 5/8"""	1	1:1	"0.1"""	Class 2G	Not Rated	__	95066A219	29.58	18-8 Stainless Steel	right	hex
"1 1/8""-5"	"1 7/64"""	"1 3/4"""	1	1:1	"0.2"""	Class 2G	Not Rated	__	95066A220	37.29	18-8 Stainless Steel	right	hex
"1 1/4""-4"	"1 1/4"""	"2"""	1	1:1	"0.25"""	Class 2G	Not Rated	__	95066A225	55.14	18-8 Stainless Steel	right	hex
"1 1/4""-5"	"1 7/32"""	"2"""	1	1:1	"0.2"""	Class 2G	Not Rated	__	95066A221	55.14	18-8 Stainless Steel	right	hex
"1 1/2""-4"	"1 15/32"""	"2 1/4"""	1	1:1	"0.25"""	Class 2G	Not Rated	__	95066A216	79.23	18-8 Stainless Steel	right	hex
"1 1/2""-5"	"1 1/2"""	"2 1/4"""	1	1:1	"0.2"""	Class 2G	Rockwell B97	__	95066A175	112.47	18-8 Stainless Steel	right	hex
"2""-4"	"1 31/32"""	"3"""	1	1:1	"0.25"""	Class 2G	Not Rated	__	95066A233	141.82	18-8 Stainless Steel	right	hex
"2 1/4""-4"	"2 31/64"""	"3 1/2"""	1	1:1	"0.25"""	Class 2G	Rockwell B97	__	95066A185	295.71	18-8 Stainless Steel	right	hex
"2 1/2""-4"	"2 1/2"""	"3 1/2"""	1	1:1	"0.25"""	Class 2G	Rockwell B97	__	95066A195	362.14	18-8 Stainless Steel	right	hex
"1/4""-16"	"13/64"""	"1/2"""	1	1:1	"0.063"""	Class 2G	Rockwell B85	__	91808A009	2.60	Carbon Steel	left	hex
"3/8""-8"	"23/64"""	"11/16"""	1	1:1	"0.125"""	Class 2G	Rockwell B85	__	91808A014	4.28	Carbon Steel	left	hex
"3/8""-10"	"23/64"""	"11/16"""	1	1:1	"0.1"""	Class 2G	Rockwell B85	__	91808A019	4.28	Carbon Steel	left	hex
"3/8""-12"	"23/64"""	"11/16"""	1	1:1	"0.083"""	Class 2G	Rockwell B85	__	91808A106	2.32	Carbon Steel	left	hex
"1/2""-8"	"31/64"""	"7/8"""	1	1:1	"0.125"""	Class 2G	Rockwell B85	__	91808A023	3.92	Carbon Steel	left	hex
"1/2""-10"	"31/64"""	"7/8"""	1	1:1	"0.1"""	Class 2G	Rockwell B85	__	91808A107	2.52	Carbon Steel	left	hex
"5/8""-6"	"19/32"""	"1 1/16"""	1	1:1	"0.167"""	Class 2G	Rockwell B85	__	91808A027	3.05	Carbon Steel	left	hex
"5/8""-8"	"19/32"""	"1 1/16"""	1	1:1	"0.125"""	Class 2G	Rockwell B85	__	91808A108	2.8	Carbon Steel	left	hex
"3/4""-5"	"23/32"""	"1 1/4"""	1	1:1	"0.2"""	Class 2G	Rockwell B85	__	91808A117	5.14	Carbon Steel	left	hex
"3/4""-6"	"23/32"""	"1 1/4"""	1	1:1	"0.167"""	Class 2G	Rockwell B85	__	91808A109	3	Carbon Steel	left	hex
"3/4""-8"	"23/32"""	"1 1/4"""	1	1:1	"0.125"""	Class 2G	Rockwell B85	__	91808A046	4.2	Carbon Steel	left	hex
"7/8""-6"	"55/64"""	"1 7/16"""	1	1:1	"0.167"""	Class 2G	Rockwell B85	__	91808A120	9.32	Carbon Steel	left	hex
"1""-4"	"63/64"""	"1 5/8"""	1	1:1	"0.25"""	Class 2G	Rockwell B85	__	91808A054	7.28	Carbon Steel	left	hex
"1""-5"	"63/64"""	"1 5/8"""	1	1:1	"0.2"""	Class 2G	Rockwell B85	__	91808A110	4.87	Carbon Steel	left	hex
"1""-6"	"63/64"""	"1 5/8"""	1	1:1	"0.167"""	Class 2G	Rockwell B85	__	91808A111	5.85	Carbon Steel	left	hex
"1""-8"	"63/64"""	"1 5/8"""	1	1:1	"0.125"""	Class 2G	Rockwell B85	__	91808A066	6.43	Carbon Steel	left	hex
"1""-10"	"63/64"""	"1 5/8"""	1	1:1	"0.1"""	Class 2G	Rockwell B85	__	91808A121	7	Carbon Steel	left	hex
"1 1/8""-5"	"1 7/64"""	"1 13/16"""	1	1:1	"0.2"""	Class 2G	Rockwell B85	__	91808A119	7.77	Carbon Steel	left	hex
"1 1/4""-4"	"1 3/16"""	"2"""	1	1:1	"0.25"""	Class 2G	Rockwell B85	__	91808A118	8.45	Carbon Steel	left	hex
"1 1/4""-5"	"1 3/16"""	"2"""	1	1:1	"0.2"""	Class 2G	Rockwell B85	__	91808A112	8.46	Carbon Steel	left	hex
"1 3/8""-4"	"1 11/32"""	"2 3/16"""	1	1:1	"0.25"""	Class 2G	Rockwell B85	__	91808A122	16.55	Carbon Steel	left	hex
"1 1/2""-4"	"1 1/2"""	"2 3/8"""	1	1:1	"0.25"""	Class 2G	Rockwell B85	__	91808A113	18.67	Carbon Steel	left	hex
"1 1/2""-5"	"1 1/2"""	"2 3/8"""	1	1:1	"0.2"""	Class 2G	Rockwell B85	__	91808A123	39.33	Carbon Steel	left	hex
"2""-4"	"1 31/32"""	"3"""	1	1:1	"0.25"""	Class 2G	Rockwell B85	__	91808A114	33.8	Carbon Steel	left	hex
"1/2""-10"	"1/2"""	"7/8"""	1	1:1	"0.1"""	Class 2G	Rockwell B75	__	98948A130	10.21	Zinc-Plated Carbon Steel	left	hex
"5/8""-8"	"5/8"""	"1 1/16"""	1	1:1	"0.125"""	Class 2G	Rockwell B75	__	98948A140	11.54	Zinc-Plated Carbon Steel	left	hex
"3/4""-6"	"3/4"""	"1 1/4"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	__	98948A150	11.75	Zinc-Plated Carbon Steel	left	hex
"1""-5"	"1"""	"1 5/8"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	__	98948A170	14.45	Zinc-Plated Carbon Steel	left	hex
"1 1/4""-5"	"1 1/4"""	"2"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	__	98948A220	27.8	Zinc-Plated Carbon Steel	left	hex
"1/2""-10"	"1/2"""	"7/8"""	1	1:1	"0.1"""	Class 2G	Rockwell B75	ASTM B16	95155A314	6.97	360 Brass	left	hex
"5/8""-8"	"5/8"""	"1 1/16"""	1	1:1	"0.125"""	Class 2G	Rockwell B75	ASTM B16	95155A319	8.96	360 Brass	left	hex
"3/4""-5"	"3/4"""	"1 1/4"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	ASTM B16	95155A323	11.29	360 Brass	left	hex
"3/4""-6"	"3/4"""	"1 1/4"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	ASTM B16	95155A327	11.29	360 Brass	left	hex
"7/8""-6"	"7/8"""	"1 1/2"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	ASTM B16	95155A343	14.72	360 Brass	left	hex
"1""-5"	"1"""	"1 5/8"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	ASTM B16	95155A347	18.11	360 Brass	left	hex
"1""-6"	"1"""	"1 5/8"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	ASTM B16	95155A351	18.11	360 Brass	left	hex
"1""-10"	"1"""	"1 5/8"""	1	1:1	"0.1"""	Class 2G	Rockwell B75	ASTM B16	95155A355	18.11	360 Brass	left	hex
"1 1/8""-5"	"1 1/8"""	"1 3/4"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	ASTM B16	95155A359	24.33	360 Brass	left	hex
"1 1/4""-5"	"1 1/4"""	"2"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	ASTM B16	95155A363	34.29	360 Brass	left	hex
"1 1/2""-4"	"1 1/2"""	"2 1/4"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	ASTM B16	95155A367	47.11	360 Brass	left	hex
"2""-4"	"2"""	"3"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	ASTM B16	95155A371	102.94	360 Brass	left	hex
"1/4""-16"	"13/64"""	"1/2"""	1	1:1	"0.063"""	Class 2G	Rockwell B97	__	95066A305	12.6	18-8 Stainless Steel	left	hex
"3/8""-8"	"23/64"""	"11/16"""	1	1:1	"0.125"""	Class 2G	Rockwell B97	__	95066A355	23.78	18-8 Stainless Steel	left	hex
"3/8""-10"	"23/64"""	"11/16"""	1	1:1	"0.1"""	Class 2G	Rockwell B97	__	95066A357	14.41	18-8 Stainless Steel	left	hex
"3/8""-12"	"23/64"""	"11/16"""	1	1:1	"0.083"""	Class 2G	Not Rated	__	95066A408	13.91	18-8 Stainless Steel	left	hex
"1/2""-8"	"31/64"""	"7/8"""	1	1:1	"0.125"""	Class 2G	Rockwell B97	__	95066A366	30.87	18-8 Stainless Steel	left	hex
"1/2""-10"	"31/64"""	"7/8"""	1	1:1	"0.1"""	Class 2G	Not Rated	__	95066A412	16.04	18-8 Stainless Steel	left	hex
"5/8""-6"	"19/32"""	"1 1/16"""	1	1:1	"0.167"""	Class 2G	Rockwell B97	__	95066A371	24.43	18-8 Stainless Steel	left	hex
"5/8""-8"	"39/64"""	"1 1/16"""	1	1:1	"0.125"""	Class 2G	Not Rated	__	95066A413	18.3	18-8 Stainless Steel	left	hex
"3/4""-5"	"47/64"""	"1 1/4"""	1	1:1	"0.2"""	Class 2G	Not Rated	__	95066A414	22.09	18-8 Stainless Steel	left	hex
"3/4""-6"	"47/64"""	"1 1/4"""	1	1:1	"0.167"""	Class 2G	Not Rated	__	95066A417	22.09	18-8 Stainless Steel	left	hex
"3/4""-8"	"23/32"""	"1 1/4"""	1	1:1	"0.125"""	Class 2G	Rockwell B97	__	95066A383	25.2	18-8 Stainless Steel	left	hex
"7/8""-6"	"55/64"""	"1 1/2"""	1	1:1	"0.167"""	Class 2G	Not Rated	__	95066A426	25.97	18-8 Stainless Steel	left	hex
"1""-4"	"63/64"""	"1 5/8"""	1	1:1	"0.25"""	Class 2G	Rockwell B97	__	95066A389	37.02	18-8 Stainless Steel	left	hex
"1""-5"	"63/64"""	"1 5/8"""	1	1:1	"0.2"""	Class 2G	Not Rated	__	95066A415	33.8	18-8 Stainless Steel	left	hex
"1""-6"	"63/64"""	"1 5/8"""	1	1:1	"0.167"""	Class 2G	Not Rated	__	95066A418	33.8	18-8 Stainless Steel	left	hex
