Thread Size	Length	Thread Starts	Speed Ratio	Travel Distance per Turn	Thread Fit	Fastener Strength Grade	Hardness	Tensile Strength	Specifications Met	Part Number	Price	Material	Thread Direction
"3/8""-12"	"6"""	1	1:1	"0.083"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93420A882	9.81	Alloy Steel	right
"3/8""-12"	"12"""	1	1:1	"0.083"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A916	11.59	Alloy Steel	right
"3/8""-12"	2 ft.	1	1:1	"0.083"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A111	22.84	Alloy Steel	right
"3/8""-12"	3 ft.	1	1:1	"0.083"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A609	34.14	Alloy Steel	right
"3/8""-12"	6 ft.	1	1:1	"0.083"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A110	62.07	Alloy Steel	right
"3/8""-12"	12 ft.	1	1:1	"0.083"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A825	122.76	Alloy Steel	right
"1/2""-8"	"12"""	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A920	16.38	Alloy Steel	right
"1/2""-8"	3 ft.	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A611	48.28	Alloy Steel	right
"1/2""-8"	6 ft.	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A320	70.07	Alloy Steel	right
"1/2""-10"	"6"""	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93420A110	14.38	Alloy Steel	right
"1/2""-10"	"8"""	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93420A130	19.16	Alloy Steel	right
"1/2""-10"	"10"""	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93420A150	21.21	Alloy Steel	right
"1/2""-10"	"12"""	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A924	16.38	Alloy Steel	right
"1/2""-10"	2 ft.	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A112	21.83	Alloy Steel	right
"1/2""-10"	3 ft.	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A615	28.97	Alloy Steel	right
"1/2""-10"	4 ft.	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A113	34.07	Alloy Steel	right
"1/2""-10"	6 ft.	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A120	48.28	Alloy Steel	right
"1/2""-10"	8 ft.	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A114	65.56	Alloy Steel	right
"1/2""-10"	12 ft.	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A840	96.49	Alloy Steel	right
"5/8""-6"	"12"""	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A928	23.62	Alloy Steel	right
"5/8""-6"	3 ft.	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A617	46.21	Alloy Steel	right
"5/8""-6"	6 ft.	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A325	77.24	Alloy Steel	right
"5/8""-8"	"6"""	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93420A210	15.47	Alloy Steel	right
"5/8""-8"	"12"""	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A932	18.03	Alloy Steel	right
"5/8""-8"	2 ft.	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A115	27	Alloy Steel	right
"5/8""-8"	3 ft.	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A620	37.41	Alloy Steel	right
"5/8""-8"	4 ft.	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A116	42.69	Alloy Steel	right
"5/8""-8"	6 ft.	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A130	61.72	Alloy Steel	right
"5/8""-8"	8 ft.	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A117	83.16	Alloy Steel	right
"5/8""-8"	12 ft.	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A845	117.76	Alloy Steel	right
"3/4""-5"	"12"""	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A936	23.1	Alloy Steel	right
"3/4""-5"	3 ft.	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A625	46.21	Alloy Steel	right
"3/4""-5"	6 ft.	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A140	81.1	Alloy Steel	right
"3/4""-5"	12 ft.	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A850	154.24	Alloy Steel	right
"3/4""-6"	"6"""	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93420A883	15.69	Alloy Steel	right
"3/4""-6"	"12"""	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A940	23.1	Alloy Steel	right
"3/4""-6"	2 ft.	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A118	32.79	Alloy Steel	right
"3/4""-6"	3 ft.	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A626	46.21	Alloy Steel	right
"3/4""-6"	4 ft.	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A119	52.34	Alloy Steel	right
"3/4""-6"	6 ft.	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A150	77.24	Alloy Steel	right
"3/4""-6"	8 ft.	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A121	102.84	Alloy Steel	right
"3/4""-6"	12 ft.	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A851	144.24	Alloy Steel	right
"3/4""-8"	"12"""	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A944	26.54	Alloy Steel	right
"3/4""-8"	3 ft.	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A628	55.48	Alloy Steel	right
"3/4""-8"	6 ft.	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A330	92.29	Alloy Steel	right
"7/8""-6"	"12"""	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A948	26.67	Alloy Steel	right
"7/8""-6"	3 ft.	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A630	57.27	Alloy Steel	right
"7/8""-6"	6 ft.	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A160	95	Alloy Steel	right
"1""-4"	"12"""	1	1:1	"0.25"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A952	34.83	Alloy Steel	right
"1""-4"	3 ft.	1	1:1	"0.25"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A632	71.72	Alloy Steel	right
"1""-4"	6 ft.	1	1:1	"0.25"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A335	119.48	Alloy Steel	right
"1""-5"	"6"""	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93420A884	24.31	Alloy Steel	right
"1""-5"	"12"""	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A956	29.83	Alloy Steel	right
"1""-5"	2 ft.	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A122	48.79	Alloy Steel	right
"1""-5"	3 ft.	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A634	68.62	Alloy Steel	right
"1""-5"	4 ft.	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A123	77.86	Alloy Steel	right
"1""-5"	6 ft.	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A170	115	Alloy Steel	right
"1""-5"	8 ft.	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A124	152.91	Alloy Steel	right
"1""-5"	12 ft.	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A861	218.1	Alloy Steel	right
"1""-6"	"12"""	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A960	33.79	Alloy Steel	right
"1""-6"	3 ft.	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A635	68.62	Alloy Steel	right
"1""-6"	6 ft.	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A180	115	Alloy Steel	right
"1""-6"	12 ft.	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A862	218.1	Alloy Steel	right
"1""-8"	"12"""	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A964	34.48	Alloy Steel	right
"1""-8"	3 ft.	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A637	71.72	Alloy Steel	right
"1""-8"	6 ft.	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A340	133.28	Alloy Steel	right
"1""-10"	"12"""	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A968	34.48	Alloy Steel	right
"1""-10"	3 ft.	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A639	71.72	Alloy Steel	right
"1""-10"	6 ft.	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A190	122.12	Alloy Steel	right
"1""-10"	12 ft.	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A863	238.78	Alloy Steel	right
"1 1/8""-5"	"12"""	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A975	48.45	Alloy Steel	right
"1 1/8""-5"	3 ft.	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A645	96.55	Alloy Steel	right
"1 1/8""-5"	6 ft.	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A210	193.1	Alloy Steel	right
"1 1/4""-4"	"12"""	1	1:1	"0.25"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A976	52.83	Alloy Steel	right
"1 1/4""-4"	3 ft.	1	1:1	"0.25"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A650	95.17	Alloy Steel	right
"1 1/4""-4"	6 ft.	1	1:1	"0.25"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A220	200.34	Alloy Steel	right
"1 1/4""-4"	12 ft.	1	1:1	"0.25"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A871	385.52	Alloy Steel	right
"1 1/4""-5"	"12"""	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93420A650	66.72	Alloy Steel	right
"1 1/4""-5"	2 ft.	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A125	69.24	Alloy Steel	right
"1 1/4""-5"	3 ft.	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A651	95.17	Alloy Steel	right
"1 1/4""-5"	4 ft.	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A126	130.34	Alloy Steel	right
"1 1/4""-5"	6 ft.	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A230	189.66	Alloy Steel	right
"1 1/4""-5"	8 ft.	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A127	225	Alloy Steel	right
"1 1/4""-5"	12 ft.	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A872	379.31	Alloy Steel	right
"1 3/8""-4"	3 ft.	1	1:1	"0.25"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A655	149.83	Alloy Steel	right
"1 3/8""-4"	6 ft.	1	1:1	"0.25"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A240	262.07	Alloy Steel	right
"1 1/2""-4"	"12"""	1	1:1	"0.25"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93420A750	78.63	Alloy Steel	right
"1 1/2""-4"	2 ft.	1	1:1	"0.25"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A128	102.21	Alloy Steel	right
"1 1/2""-4"	3 ft.	1	1:1	"0.25"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A660	134.7	Alloy Steel	right
"1 1/2""-4"	4 ft.	1	1:1	"0.25"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A129	202.59	Alloy Steel	right
"1 1/2""-4"	6 ft.	1	1:1	"0.25"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A250	257.15	Alloy Steel	right
"1 1/2""-4"	8 ft.	1	1:1	"0.25"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A131	323.29	Alloy Steel	right
"1 1/2""-4"	12 ft.	1	1:1	"0.25"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A877	489.84	Alloy Steel	right
"1 1/2""-5"	"12"""	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A990	79.39	Alloy Steel	right
"1 1/2""-5"	3 ft.	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A665	144.73	Alloy Steel	right
"1 1/2""-5"	6 ft.	1	1:1	"0.2"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A345	220.59	Alloy Steel	right
"2""-4"	"12"""	1	1:1	"0.25"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A993	125.66	Alloy Steel	right
"2""-4"	3 ft.	1	1:1	"0.25"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A671	239.45	Alloy Steel	right
"2""-4"	6 ft.	1	1:1	"0.25"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A260	479.21	Alloy Steel	right
"2 1/2""-4"	3 ft.	1	1:1	"0.25"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A681	419.84	Alloy Steel	right
"1/4""-16"	"12"""	1	1:1	"0.063"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A601	22.41	18-8 Stainless Steel	right
"1/4""-16"	3 ft.	1	1:1	"0.063"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A801	42.36	18-8 Stainless Steel	right
"1/4""-16"	6 ft.	1	1:1	"0.063"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A505	67.07	18-8 Stainless Steel	right
"3/8""-8"	"12"""	1	1:1	"0.125"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A603	22.41	18-8 Stainless Steel	right
"3/8""-8"	3 ft.	1	1:1	"0.125"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A807	40.86	18-8 Stainless Steel	right
"3/8""-8"	6 ft.	1	1:1	"0.125"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A513	68.1	18-8 Stainless Steel	right
"3/8""-10"	"12"""	1	1:1	"0.1"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A606	22.41	18-8 Stainless Steel	right
"3/8""-10"	3 ft.	1	1:1	"0.1"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A810	40.86	18-8 Stainless Steel	right
"3/8""-10"	6 ft.	1	1:1	"0.1"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A518	68.1	18-8 Stainless Steel	right
"3/8""-12"	"12"""	1	1:1	"0.083"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A609	14.48	18-8 Stainless Steel	right
"3/8""-12"	3 ft.	1	1:1	"0.083"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A813	40.86	18-8 Stainless Steel	right
"3/8""-12"	6 ft.	1	1:1	"0.083"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A191	79.21	18-8 Stainless Steel	right
"3/8""-12"	12 ft.	1	1:1	"0.083"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A923	141.86	18-8 Stainless Steel	right
"1/2""-8"	"12"""	1	1:1	"0.125"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A612	28.07	18-8 Stainless Steel	right
"1/2""-8"	3 ft.	1	1:1	"0.125"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A816	68.97	18-8 Stainless Steel	right
"1/2""-8"	6 ft.	1	1:1	"0.125"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A524	125.17	18-8 Stainless Steel	right
"1/2""-10"	"6"""	1	1:1	"0.1"""	Class 2G	__	Rockwell B96	Not Rated	__	94330A110	19.76	18-8 Stainless Steel	right
"1/2""-10"	"12"""	1	1:1	"0.1"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A615	28.07	18-8 Stainless Steel	right
"1/2""-10"	3 ft.	1	1:1	"0.1"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A819	50.17	18-8 Stainless Steel	right
"1/2""-10"	6 ft.	1	1:1	"0.1"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A212	69.72	18-8 Stainless Steel	right
"1/2""-10"	12 ft.	1	1:1	"0.1"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A929	158.62	18-8 Stainless Steel	right
"5/8""-6"	"12"""	1	1:1	"0.167"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A618	41.8	18-8 Stainless Steel	right
"5/8""-6"	3 ft.	1	1:1	"0.167"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A823	80.34	18-8 Stainless Steel	right
"5/8""-6"	6 ft.	1	1:1	"0.167"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A528	134.31	18-8 Stainless Steel	right
"5/8""-8"	"6"""	1	1:1	"0.125"""	Class 2G	__	Rockwell B96	Not Rated	__	94330A210	24.61	18-8 Stainless Steel	right
"5/8""-8"	"12"""	1	1:1	"0.125"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A621	28.83	18-8 Stainless Steel	right
"5/8""-8"	3 ft.	1	1:1	"0.125"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A825	69.83	18-8 Stainless Steel	right
"5/8""-8"	6 ft.	1	1:1	"0.125"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A213	132.55	18-8 Stainless Steel	right
"5/8""-8"	12 ft.	1	1:1	"0.125"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A935	219.83	18-8 Stainless Steel	right
"3/4""-5"	"6"""	1	1:1	"0.2"""	Class 2G	__	Rockwell B96	Not Rated	__	94330A310	31.93	18-8 Stainless Steel	right
"3/4""-5"	"12"""	1	1:1	"0.2"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A624	48.97	18-8 Stainless Steel	right
"3/4""-5"	3 ft.	1	1:1	"0.2"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A831	97.24	18-8 Stainless Steel	right
"3/4""-5"	6 ft.	1	1:1	"0.2"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A217	170.23	18-8 Stainless Steel	right
"3/4""-5"	12 ft.	1	1:1	"0.2"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A941	306.21	18-8 Stainless Steel	right
"3/4""-6"	"6"""	1	1:1	"0.167"""	Class 2G	__	Rockwell B96	Not Rated	__	94330A410	31.93	18-8 Stainless Steel	right
"3/4""-6"	"12"""	1	1:1	"0.167"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A627	48.97	18-8 Stainless Steel	right
"3/4""-6"	"18"""	1	1:1	"0.167"""	Class 2G	__	Rockwell B96	Not Rated	__	94330A480	96.41	18-8 Stainless Steel	right
"3/4""-6"	3 ft.	1	1:1	"0.167"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A832	97.24	18-8 Stainless Steel	right
"3/4""-6"	6 ft.	1	1:1	"0.167"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A214	180.36	18-8 Stainless Steel	right
"3/4""-6"	12 ft.	1	1:1	"0.167"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A942	321.52	18-8 Stainless Steel	right
"3/4""-8"	"12"""	1	1:1	"0.125"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A630	51.55	18-8 Stainless Steel	right
"3/4""-8"	3 ft.	1	1:1	"0.125"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A835	102.41	18-8 Stainless Steel	right
"3/4""-8"	6 ft.	1	1:1	"0.125"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A533	170.52	18-8 Stainless Steel	right
"7/8""-6"	"12"""	1	1:1	"0.167"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A633	62.59	18-8 Stainless Steel	right
"7/8""-6"	3 ft.	1	1:1	"0.167"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A837	126.21	18-8 Stainless Steel	right
"7/8""-6"	6 ft.	1	1:1	"0.167"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A193	223.9	18-8 Stainless Steel	right
"7/8""-6"	12 ft.	1	1:1	"0.167"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A947	399.66	18-8 Stainless Steel	right
"1""-4"	"12"""	1	1:1	"0.25"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A636	75	18-8 Stainless Steel	right
"1""-4"	3 ft.	1	1:1	"0.25"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A840	150.69	18-8 Stainless Steel	right
"1""-4"	6 ft.	1	1:1	"0.25"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A538	251.21	18-8 Stainless Steel	right
"1""-5"	"6"""	1	1:1	"0.2"""	Class 2G	__	Rockwell B96	Not Rated	__	94330A510	41.05	18-8 Stainless Steel	right
"1""-5"	"12"""	1	1:1	"0.2"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A639	78.97	18-8 Stainless Steel	right
"1""-5"	"18"""	1	1:1	"0.2"""	Class 2G	__	Rockwell B96	Not Rated	__	94330A580	108.41	18-8 Stainless Steel	right
"1""-5"	3 ft.	1	1:1	"0.2"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A843	158.28	18-8 Stainless Steel	right
"1""-5"	6 ft.	1	1:1	"0.2"""	Class 2G	__	Rockwell B96	Not Rated	__	95061A215	259.29	18-8 Stainless Steel	right
